Frame,ID,Object,X,Y
0,1,Player B,0.5462515,0.6826833
0,1,Player B,0.85611784,0.2730961
0,0,Player A,0.02373903,0.1762391
0,0,Player A,0.021229943,0.2250671
1,1,Player B,0.5465479,0.68194973
1,1,Player B,0.85610175,0.27299014
1,0,Player A,0.023746824,0.17609923
1,0,Player A,0.021219915,0.22480124
2,1,Player B,0.547613,0.67990464
2,1,Player B,0.8560702,0.27302316
3,1,Player B,0.54766077,0.6791421
3,1,Player B,0.85607356,0.2731322
4,1,Player B,0.5503198,0.67887145
4,1,Player B,0.8559992,0.27297318
5,1,Player B,0.5554132,0.68168044
5,1,Player B,0.8560942,0.273011
6,1,Player B,0.55562675,0.6818679
6,1,Player B,0.85609716,0.27288622
6,1,Player B,0.5431467,0.6831711
7,1,Player B,0.5531134,0.6818338
7,1,Player B,0.542688,0.683105
7,1,Player B,0.85601807,0.2729481
8,1,Player B,0.55004334,0.67399836
8,1,Player B,0.54182893,0.6828717
8,1,Player B,0.85584545,0.27298048
9,1,Player B,0.5499914,0.6739957
9,1,Player B,0.5419329,0.68285656
9,1,Player B,0.855843,0.27300286
10,1,Player B,0.5503143,0.65965915
10,1,Player B,0.5442165,0.6783415
10,1,Player B,0.855514,0.273064
11,1,Player B,0.5459856,0.65896165
11,1,Player B,0.85527325,0.27314585
12,1,Player B,0.54496634,0.65515596
12,1,Player B,0.8553992,0.27318856
13,1,Player B,0.5456789,0.6499803
13,1,Player B,0.5455533,0.67793584
13,1,Player B,0.85567456,0.2730559
14,1,Player B,0.54853654,0.6507513
14,1,Player B,0.54880255,0.681341
14,1,Player B,0.85578614,0.27304626
15,1,Player B,0.5489798,0.65019065
15,1,Player B,0.85587275,0.27294758
16,1,Player B,0.55032814,0.65217704
16,1,Player B,0.8558595,0.27282387
17,1,Player B,0.55221343,0.6545811
17,1,Player B,0.85590184,0.27269545
18,1,Player B,0.5539137,0.65459
18,1,Player B,0.55349314,0.6827791
18,1,Player B,0.8560381,0.2725998
19,1,Player B,0.5553316,0.6563125
19,1,Player B,0.555266,0.6878624
19,1,Player B,0.85634214,0.27271625
20,1,Player B,0.5563901,0.6569899
20,1,Player B,0.5563832,0.6888139
20,1,Player B,0.8562616,0.27271554
21,1,Player B,0.5564133,0.6570865
21,1,Player B,0.55640084,0.68877
21,1,Player B,0.8562523,0.27267954
22,1,Player B,0.55822647,0.65566653
22,1,Player B,0.55806756,0.68921375
22,1,Player B,0.85618496,0.27274203
