Frame,ID,Object,X,Y
0,0,Tracked Player,0.40262517,0.61782384
1,0,Tracked Player,0.40506044,0.60933787
2,0,Tracked Player,0.41222772,0.61903083
3,0,Tracked Player,0.40755472,0.64831954
4,0,Tracked Player,0.40816984,0.64979625
5,0,Tracked Player,0.40987548,0.6505211
6,0,Tracked Player,0.4100361,0.6503624
7,0,Tracked Player,0.41310546,0.6524838
8,0,Tracked Player,0.4148412,0.6497143
9,0,Tracked Player,0.41584396,0.6538462
10,0,Tracked Player,0.4177038,0.6537216
11,0,Tracked Player,0.41992912,0.65131587
12,0,Tracked Player,0.4200098,0.6517618
13,0,Tracked Player,0.42042026,0.64856905
14,0,Tracked Player,0.422544,0.6426384
15,0,Tracked Player,0.42333636,0.63503677
16,0,Tracked Player,0.42486984,0.6290651
17,0,Tracked Player,0.42631683,0.6264583
18,0,Tracked Player,0.42630035,0.62647635
19,0,Tracked Player,0.42779398,0.62275857
20,0,Tracked Player,0.42940107,0.61887324
21,0,Tracked Player,0.43146524,0.61311316
22,0,Tracked Player,0.43276435,0.604108
23,0,Tracked Player,0.43611994,0.5991289
24,0,Tracked Player,0.436127,0.59907997
25,0,Tracked Player,0.438327,0.5956093
26,0,Tracked Player,0.443256,0.5943097
27,0,Tracked Player,0.44659072,0.5927055
28,0,Tracked Player,0.44999567,0.5873689
29,0,Tracked Player,0.45390514,0.5830659
30,0,Tracked Player,0.45405743,0.5826977
31,0,Tracked Player,0.46148497,0.5720903
32,0,Tracked Player,0.46491247,0.5708425
33,0,Tracked Player,0.46447283,0.5680879
34,0,Tracked Player,0.46512747,0.5647299
35,0,Tracked Player,0.46520883,0.5601158
36,0,Tracked Player,0.4667211,0.5660926
37,0,Tracked Player,0.46544966,0.5599881
38,0,Tracked Player,0.4654916,0.55952066
39,0,Tracked Player,0.46014833,0.5430308
40,0,Tracked Player,0.4560089,0.5412861
41,0,Tracked Player,0.45518938,0.5427038
42,0,Tracked Player,0.45543227,0.5424339
43,0,Tracked Player,0.4542513,0.53887284
44,0,Tracked Player,0.44912642,0.53892314
45,0,Tracked Player,0.44423962,0.53497404
46,0,Tracked Player,0.43910453,0.53249496
47,0,Tracked Player,0.43241748,0.5214595
48,0,Tracked Player,0.43216628,0.52127665
49,0,Tracked Player,0.42412853,0.5185156
50,0,Tracked Player,0.41772032,0.5176882
51,0,Tracked Player,0.41443664,0.51667327
52,0,Tracked Player,0.40626335,0.51326555
53,0,Tracked Player,0.39978772,0.51694745
54,0,Tracked Player,0.39970863,0.5167354
55,0,Tracked Player,0.38440505,0.5142236
56,0,Tracked Player,0.36902368,0.5120765
57,0,Tracked Player,0.35907492,0.5141144
58,0,Tracked Player,0.34664038,0.5114674
61,0,Tracked Player,0.32973894,0.5124198
64,0,Tracked Player,0.30447826,0.5013912
65,0,Tracked Player,0.2986943,0.49560964
67,0,Tracked Player,0.29621857,0.49493137
68,0,Tracked Player,0.28722233,0.49596637
69,0,Tracked Player,0.28156325,0.49438816
70,0,Tracked Player,0.27828315,0.49398488
71,0,Tracked Player,0.26940033,0.491012
72,0,Tracked Player,0.26917255,0.49158213
73,0,Tracked Player,0.26471302,0.48662323
74,0,Tracked Player,0.264935,0.4850074
75,0,Tracked Player,0.26332277,0.48406485
76,0,Tracked Player,0.2622674,0.4822898
77,0,Tracked Player,0.26285288,0.47752115
78,0,Tracked Player,0.26272723,0.47755456
79,0,Tracked Player,0.2671568,0.47499022
80,0,Tracked Player,0.26945323,0.47386283
81,0,Tracked Player,0.26900658,0.47382033
82,0,Tracked Player,0.2700649,0.47478756
83,0,Tracked Player,0.27095503,0.47302517
84,0,Tracked Player,0.27013478,0.47576413
85,0,Tracked Player,0.27364525,0.47365734
86,0,Tracked Player,0.2785111,0.47100818
87,0,Tracked Player,0.28103304,0.4726967
88,0,Tracked Player,0.2876504,0.4649897
89,0,Tracked Player,0.29457018,0.46406645
90,0,Tracked Player,0.29451084,0.46705577
91,0,Tracked Player,0.3041447,0.45870373
92,0,Tracked Player,0.31013092,0.4608182
93,0,Tracked Player,0.3123009,0.46156552
94,0,Tracked Player,0.31547678,0.45841068
95,0,Tracked Player,0.32206255,0.4549065
96,0,Tracked Player,0.32059357,0.45595744
97,0,Tracked Player,0.3318345,0.4542643
98,0,Tracked Player,0.34245878,0.4522084
99,0,Tracked Player,0.3560138,0.4516007
100,0,Tracked Player,0.3630014,0.45265502
101,0,Tracked Player,0.36708564,0.45441276
102,0,Tracked Player,0.36679432,0.4547165
103,0,Tracked Player,0.37252134,0.45298806
104,0,Tracked Player,0.3881466,0.4540004
105,0,Tracked Player,0.39482656,0.45442274
106,0,Tracked Player,0.4030943,0.4527639
107,0,Tracked Player,0.4097781,0.45181137
108,0,Tracked Player,0.409338,0.4516971
109,0,Tracked Player,0.4176568,0.44908556
110,0,Tracked Player,0.42889175,0.45381808
111,0,Tracked Player,0.43745813,0.45662606
112,0,Tracked Player,0.441247,0.45849854
113,0,Tracked Player,0.44378272,0.46070048
114,0,Tracked Player,0.44339705,0.4619861
115,0,Tracked Player,0.44486505,0.45988318
116,0,Tracked Player,0.446514,0.4579443
117,0,Tracked Player,0.4475813,0.4571416
118,0,Tracked Player,0.44946203,0.4571992
119,0,Tracked Player,0.4556306,0.4585457
120,0,Tracked Player,0.4545706,0.4589084
121,0,Tracked Player,0.45830154,0.45727575
122,0,Tracked Player,0.46021223,0.46074432
123,0,Tracked Player,0.46131364,0.45980218
124,0,Tracked Player,0.46063727,0.4573038
