Frame,ID,Object,X,Y
0,1,person,1129,749
1,1,person,1129,749
2,1,person,1129,749
3,1,person,1128,750
4,1,person,1126,750
5,1,person,1125,750
6,1,person,1125,750
7,1,person,1124,750
8,1,person,1123,750
9,1,person,1121,750
10,1,person,1120,750
11,1,person,1120,750
12,1,person,1119,750
13,1,person,1118,750
14,1,person,1117,751
15,1,person,1117,751
16,1,person,1116,751
17,1,person,1116,751
18,1,person,1116,751
19,1,person,1115,751
20,1,person,1115,751
21,1,person,1114,751
22,1,person,1114,751
23,1,person,1112,752
24,1,person,1112,752
25,1,person,1112,752
26,1,person,1112,752
27,1,person,1111,753
28,1,person,1111,753
29,1,person,1110,754
30,1,person,1110,754
31,1,person,1110,754
32,1,person,1110,755
33,1,person,1110,755
34,1,person,1110,755
35,1,person,1111,755
36,1,person,1111,755
37,1,person,1111,755
38,1,person,1111,755
39,1,person,1111,756
40,1,person,1111,755
41,1,person,1111,755
42,1,person,1111,755
43,1,person,1110,754
44,1,person,1110,754
45,1,person,1111,754
46,1,person,1111,753
47,1,person,1112,753
48,1,person,1113,753
49,1,person,1113,753
50,1,person,1116,752
51,1,person,1118,752
52,1,person,1121,752
53,1,person,1122,752
54,1,person,1123,752
55,1,person,1123,749
56,1,person,1124,747
57,1,person,1123,735
58,1,person,1123,730
59,1,person,1119,728
60,1,person,1118,727
61,1,person,1118,726
69,1,person,1120,716
70,1,person,1120,716
71,1,person,1136,715
72,1,person,1143,715
73,1,person,1145,715
74,1,person,1138,715
75,1,person,1136,715
76,1,person,1135,712
77,1,person,1134,711
78,1,person,1134,710
79,1,person,1132,710
80,1,person,1131,710
81,1,person,1130,711
82,1,person,1132,709
83,1,person,1133,708
84,1,person,1133,707
85,1,person,1133,706
86,1,person,1134,706
87,1,person,1134,706
88,1,person,1134,706
89,1,person,1133,706
90,1,person,1133,706
91,1,person,1133,706
92,1,person,1133,706
93,1,person,1133,706
94,1,person,1129,705
95,1,person,1128,705
96,1,person,1123,704
97,1,person,1120,703
98,1,person,1117,704
99,1,person,1103,700
100,1,person,1098,699
101,1,person,1109,706
102,1,person,1113,709
103,1,person,1115,709
104,1,person,1115,709
105,1,person,1116,709
106,1,person,1114,704
107,1,person,1114,702
108,1,person,1118,681
109,1,person,1119,673
110,1,person,1120,670
111,1,person,1141,654
112,1,person,1149,648
113,1,person,1153,642
114,1,person,1154,640
115,1,person,1154,640
116,1,person,1152,655
117,1,person,1151,661
118,1,person,1148,672
119,1,person,1146,677
120,1,person,1154,684
121,1,person,1156,687
122,1,person,1157,688
123,1,person,1156,693
124,1,person,1156,695
125,1,person,1148,701
126,1,person,1145,704
127,1,person,1143,705
128,1,person,1136,707
129,1,person,1133,707
130,1,person,1124,708
131,1,person,1120,708
132,1,person,1113,709
133,1,person,1111,710
134,1,person,1110,710
135,1,person,1104,706
136,1,person,1100,704
137,1,person,1114,697
138,1,person,1120,695
